Open time,Open,High,Low,Close,Volume
1/25/2018,11349.96,11794.05,10950.21,11175.27,20839.95418
1/26/2018,11184.7,11643,10311.15,11089,33056.87196
1/27/2018,11089,11650,10842.69,11491,18860.76835
1/28/2018,11499.98,12244,11408,11879.95,16887.33952
1/29/2018,11879.95,11975.02,11139.55,11251,14170.37754
1/30/2018,11250.11,11308.42,9900,10237.51,25554.37295
1/31/2018,10230,10425.85,9700,10285.1,18015.95681
2/1/2018,10285.1,10335,8750.99,9224.52,33564.76431
2/2/2018,9224.52,9250,8010.02,8873.03,49971.62698
2/3/2018,8873.03,9473.01,8229,9199.96,28725.00074
2/4/2018,9199.96,9368,7930,8184.81,32014.30845
2/5/2018,8179.99,8382.8,6625,6939.99,63403.18258
2/6/2018,6939.63,7878,6000.01,7652.14,100201.5003
2/7/2018,7655.02,8476,7150.01,7599,60778.4605
2/8/2018,7599,7844,7572.09,7784.02,1521.537318
2/9/2018,7789.9,8738,7789.9,8683.92,20482.91083
2/10/2018,8683.93,9065.78,8120,8533.98,49381.51265
2/11/2018,8533.99,8549,7726.53,8063.88,45025.18795
2/12/2018,8063.82,8989,8053,8903,41987.85049
2/13/2018,8903,8950,8351,8539.9,35454.97296
2/14/2018,8535.17,9489.6,8533,9449.99,40811.95287
2/15/2018,9449.98,10219.5,9301.5,10000.09,52427.59672
2/16/2018,10000.89,10323.37,9666,10159.98,38161.20597
2/17/2018,10156.07,11075.07,10050,11039.55,41882.10841
2/18/2018,11039.55,11274,10080,10383.43,61137.38073
2/19/2018,10375.01,11250,10270.33,11153,40831.41713
2/20/2018,11147.11,11786.01,11100.59,11200.99,48153.35429
2/21/2018,11195.07,11304.03,10200,10437.6,68113.81875
2/22/2018,10439.02,10933.44,9679,9811.04,67060.16648
2/23/2018,9815.55,10435,9570.19,10131.04,57202.70237
2/24/2018,10131.04,10496.97,9352,9694.51,40888.1563
2/25/2018,9694.51,9847,9274.8,9590,28373.51759
2/26/2018,9590,10444.32,9350,10324,34878.29276
2/27/2018,10321,10870,10121,10569.04,30705.38512
2/28/2018,10584.33,11098,10300,10326.76,30800.98378
3/1/2018,10325.64,11060.41,10240,10920,25092.55393
3/2/2018,10923.36,11200,10770,11039,23910.71009
3/3/2018,11038.99,11544,11015.01,11464.48,21287.15328
3/4/2018,11464.47,11565,11050.02,11515,17295.91865
3/5/2018,11515,11710,11415.01,11454,15144.23106
3/6/2018,11455,11455,10555.48,10716.48,29515.57236
3/7/2018,10716.48,10899,9389.31,9910,50647.67108
3/8/2018,9910,10099,9060,9271.64,41109.47323
3/9/2018,9267.07,9410,8329,9227,64112.29141
3/10/2018,9230,9490,8667.07,8770.22,37180.01286
3/11/2018,8770.22,9740,8450,9533.57,44325.97339
3/12/2018,9533.57,9888.88,8780,9131.34,42230.77793
3/13/2018,9131.34,9474,8823,9150,40191.40936
